code,pref,name,mui,junmui,muiPop
10382,群馬県,下仁田町（甘楽郡）,,,
10383,群馬県,南牧村（甘楽郡）,,,
10384,群馬県,甘楽町（甘楽郡）,,,
10421,群馬県,中之条町（吾妻郡）,,,
10424,群馬県,長野原町（吾妻郡）,,,
10425,群馬県,嬬恋村（吾妻郡）,,,
10426,群馬県,草津町（吾妻郡）,,,
10428,群馬県,高山村（吾妻郡）,,,
10429,群馬県,東吾妻町（吾妻郡）,,,
10443,群馬県,片品村（利根郡）,,,
10444,群馬県,川場村（利根郡）,,,
10448,群馬県,昭和村（利根郡）,,,
10449,群馬県,みなかみ町（利根郡）,,,
10464,群馬県,玉村町（佐波郡）,,,
10521,群馬県,板倉町（邑楽郡）,,,
10522,群馬県,明和町（邑楽郡）,,,
10523,群馬県,千代田町（邑楽郡）,,,
10524,群馬県,大泉町（邑楽郡）,,,
10525,群馬県,邑楽町（邑楽郡）,,,
11100,埼玉県,さいたま市,,,
11201,埼玉県,川越市,,,
11202,埼玉県,熊谷市,,,
11203,埼玉県,川口市,,,
11206,埼玉県,行田市,,,
11207,埼玉県,秩父市,,,
11208,埼玉県,所沢市,,,
11209,埼玉県,飯能市,,,
11210,埼玉県,加須市,,,
11211,埼玉県,本庄市,,,
11212,埼玉県,東松山市,,,
11214,埼玉県,春日部市,,,
11215,埼玉県,狭山市,,,
11216,埼玉県,羽生市,,,
11217,埼玉県,鴻巣市,,,
11218,埼玉県,深谷市,,,
11219,埼玉県,上尾市,,,
11221,埼玉県,草加市,,,
11222,埼玉県,越谷市,,,
11223,埼玉県,蕨市,,,
11224,埼玉県,戸田市,,,
11225,埼玉県,入間市,,,
11227,埼玉県,朝霞市,,,
11228,埼玉県,志木市,,,
11229,埼玉県,和光市,,,
11230,埼玉県,新座市,,,
11231,埼玉県,桶川市,,,
11232,埼玉県,久喜市,,,
11233,埼玉県,北本市,,,
11234,埼玉県,八潮市,,,
11235,埼玉県,富士見市,,,
11237,埼玉県,三郷市,,,
11238,埼玉県,蓮田市,,,
